days,Date,Open,High,Low,Close,Adj Close,Volume,avg
5,"Friday, 20 December 2019",42.615002,42.759998,42.299999,42.564999,42.54961,24887000,42.5299985
1,"Monday, 23 December 2019",43.009998,43.09,42.785,42.880001,42.864498,18106800,42.9375
2,"Tuesday, 24 December 2019",42.974998,43.035,42.625,42.919998,42.919998,9974600,42.83
3,"Wednesday, 25 December 2019",,,,42.919998,,,42.83
4,"Thursday, 26 December 2019",43.115002,44.055,43.115002,44.035,44.035,16064600,43.585001
5,"Friday, 27 December 2019",44.505001,44.529999,43.575001,43.904999,43.904999,24937600,44.0525
1,"Monday, 30 December 2019",43.865002,43.93,42.400002,43.029999,43.029999,28226400,43.165001
2,"Tuesday, 31 December 2019",42.650002,43.380001,42.43,43.275002,43.275002,21095000,42.9050005
3,"Wednesday, 1 January 2020",,,,43.275002,,,42.9050005
4,"Thursday, 2 January 2020",44.355,45.419998,44.110001,45.419998,45.419998,32768000,44.7649995
5,"Friday, 3 January 2020",43.645,45,43.619999,44.185001,44.185001,36295000,44.3099995
1,"Monday, 6 January 2020",43.134998,45.040001,42.974998,45.025002,45.025002,32023800,44.0074995
2,"Tuesday, 7 January 2020",45.07,45.389999,44.580002,44.970001,44.970001,26924800,44.9850005
3,"Wednesday, 8 January 2020",44.98,46.639999,44.764999,46.005001,46.005001,39791200,45.702499
4,"Thursday, 9 January 2020",47.115002,47.43,46.360001,47.165001,47.165001,36355800,46.8950005
5,"Friday, 10 January 2020",47.695,47.735001,46.564999,46.779999,46.779999,34401000,47.15
1,"Monday, 13 January 2020",47.365002,48.439999,47.154999,48.415001,48.415001,29139600,47.797499
2,"Tuesday, 14 January 2020",48.290001,48.575001,47.610001,47.849998,47.849998,36434400,48.092501
3,"Wednesday, 15 January 2020",47.889999,48.564999,47.41,47.880001,47.880001,33250800,47.9874995
4,"Thursday, 16 January 2020",48.555,49.244999,48.264999,49.215,49.215,30275200,48.754999
5,"Friday, 17 January 2020",49.855,50.07,49.130001,49.950001,49.950001,36100600,49.6000005
1,"Monday, 20 January 2020",,,,49.950001,,,49.6000005
2,"Tuesday, 21 January 2020",49.514999,50.255001,49.48,49.924999,49.924999,34720600,49.8675005
3,"Wednesday, 22 January 2020",50.615002,51.145,50.09,50.264999,50.264999,34037200,50.6175
4,"Thursday, 23 January 2020",50.165001,50.794998,49.485001,50.73,50.73,35897200,50.1399995
5,"Friday, 24 January 2020",51.450001,51.605,48.755001,49.415001,49.415001,59843600,50.1800005
1,"Monday, 27 January 2020",46.125,47.174999,45.09,46.360001,46.360001,49656600,46.1324995
2,"Tuesday, 28 January 2020",47.325001,48.834999,46.990002,48.514999,48.514999,42965600,47.9125005
3,"Wednesday, 29 January 2020",49.314999,49.48,48.09,48.689999,48.689999,34469400,48.785
4,"Thursday, 30 January 2020",47.799999,49.299999,47.325001,49.240002,49.240002,50062400,48.3125
5,"Friday, 31 January 2020",49.84,49.875,46.375,46.82,46.82,55096000,48.125
1,"Monday, 3 February 2020",47.555,49.330002,47.465,48.970001,48.970001,43422000,48.397501
2,"Tuesday, 4 February 2020",51,52.625,50.509998,52.314999,52.314999,35062200,51.567499
3,"Wednesday, 5 February 2020",54.279999,54.290001,51.945,52.919998,52.919998,43653000,53.1175005
4,"Thursday, 6 February 2020",53.255001,54.27,52.705002,54.209999,54.209999,28283200,53.487501
5,"Friday, 7 February 2020",53.490002,54.404999,53.060001,53.509998,53.509998,38513000,53.7325
1,"Monday, 10 February 2020",52.990002,55.455002,52.950001,55.439999,55.439999,30812200,54.2025015
2,"Tuesday, 11 February 2020",56.349998,56.935001,55.040001,55.48,55.48,48442600,55.987501
3,"Wednesday, 12 February 2020",56.445,57.174999,56.049999,57.105,57.105,30402000,56.612499
4,"Thursday, 13 February 2020",55.895,57.549999,55.689999,56.884998,56.884998,38820600,56.619999
5,"Friday, 14 February 2020",57.110001,57.494999,56.540001,57.27,57.27,28492400,57.0175
1,"Monday, 17 February 2020",,,,57.27,,,57.0175
2,"Tuesday, 18 February 2020",56.459999,57.715,56.294998,57.369999,57.369999,32541800,57.004999
3,"Wednesday, 19 February 2020",58.404999,59.400002,58.200001,59.029999,59.029999,26406800,58.8000015
4,"Thursday, 20 February 2020",58.650002,58.990002,55.195,57.349998,57.349998,56914400,57.092501
5,"Friday, 21 February 2020",56.529999,56.790001,53.365002,54.07,54.07,51776800,55.0775015
1,"Monday, 24 February 2020",48.139999,49.790001,46.814999,47.84,47.84,67418600,48.3025
2,"Tuesday, 25 February 2020",48.965,49.455002,43.470001,43.970001,43.970001,75198400,46.4625015
3,"Wednesday, 26 February 2020",44.639999,46.865002,43.575001,44.575001,44.575001,83934000,45.2200015
4,"Thursday, 27 February 2020",41.150002,43.205002,37.790001,37.91,37.91,106279000,40.4975015
5,"Friday, 28 February 2020",34.205002,38.715,33.75,38.5,38.5,123555600,36.2325
1,"Monday, 2 March 2020",39.634998,43.869999,37.985001,43.755001,43.755001,90879600,40.9275
2,"Tuesday, 3 March 2020",44.185001,45.75,38.439999,39.634998,39.634998,137031600,42.0949995
3,"Wednesday, 4 March 2020",41.77,44.575001,40.650002,44.445,44.445,78956800,42.6125015
4,"Thursday, 5 March 2020",41.119999,43.380001,39.544998,40.544998,40.544998,96743000,41.4624995
5,"Friday, 6 March 2020",36.365002,39.040001,35.5,38.419998,38.419998,98379800,37.2700005
1,"Monday, 9 March 2020",30.764999,34.575001,30.5,30.615,30.615,101741200,32.5375005
2,"Tuesday, 10 March 2020",33.990002,35.465,30.5,35.380001,35.380001,114063200,32.9825
3,"Wednesday, 11 March 2020",32.889999,33.615002,29.5,30.83,30.83,107732000,31.557501
4,"Thursday, 12 March 2020",24.75,28.75,22.200001,22.379999,22.379999,154556400,25.4750005
5,"Friday, 13 March 2020",26.120001,28.655001,22.530001,28.42,28.42,139072600,25.592501
1,"Monday, 16 March 2020",20.23,24.299999,18.495001,18.625,18.625,164572600,21.3975
2,"Tuesday, 17 March 2020",19.690001,22.57,17.875,21.66,21.66,190505200,20.2225
